"Privato/Pubblico";"Regione";"Codice edificio";"DO_Y";"DO_X";"Agibilità";"Provincia";"Codice ISTAT";"ID";"X Gauss-Boaga";"gid";"Y Gauss-Boaga";"Comune";
"privato";"Toscana";"CASO_0015_219+";"44.2143438127935";"10.185215936533";"A";"MASSA-CARRARA";"9450004";"105";"1594710";"105";"4896380";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_210+";"44.2143438127935";"10.185215936533";"A";"MASSA-CARRARA";"9450004";"106";"1594710";"106";"4896380";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_204+";"44.2142576961746";"10.1848386793271";"A";"MASSA-CARRARA";"9450004";"107";"1594680";"107";"4896370";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_534+";"44.2144364197145";"10.1849674394309";"A";"MASSA-CARRARA";"9450004";"108";"1594690";"108";"4896390";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_00219";"44.2143438127935";"10.185215936533";"B";"MASSA-CARRARA";"9450004";"109";"1594710";"109";"4896380";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_00213";"44.2142551002515";"10.1850889807606";"B";"MASSA-CARRARA";"9450004";"110";"1594700";"110";"4896370";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_00208";"44.2144351216763";"10.1850925905245";"B";"MASSA-CARRARA";"9450004";"111";"1594700";"111";"4896390";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_00132";"44.2155074587011";"10.1858651699203";"E";"MASSA-CARRARA";"9450004";"112";"1594760";"112";"4896510";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_00211";"44.2142551002515";"10.1850889807606";"E";"MASSA-CARRARA";"9450004";"113";"1594700";"113";"4896370";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0014_00073";"44.2178097831881";"10.1721410999089";"B";"MASSA-CARRARA";"9450004";"114";"1593660";"114";"4896750";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0014_00680";"44.2160492968447";"10.1682255848631";"B";"MASSA-CARRARA";"9450004";"115";"1593350";"115";"4896550";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0014_00564";"44.2172966498614";"10.1695020747801";"E";"MASSA-CARRARA";"9450004";"116";"1593450";"116";"4896690";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0022_00238";"44.2013052692808";"10.1484109469217";"A";"MASSA-CARRARA";"9450004";"117";"1591790";"117";"4894890";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_432+";"44.1998538416744";"10.1760400816787";"A";"MASSA-CARRARA";"9450004";"118";"1594000";"118";"4894760";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_1055+";"44.1996738192014";"10.1760365013132";"A";"MASSA-CARRARA";"9450004";"119";"1594000";"119";"4894740";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_773+";"44.1997599662671";"10.1764136527659";"A";"MASSA-CARRARA";"9450004";"120";"1594030";"120";"4894750";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_438+";"44.1996725312852";"10.1761616215558";"A";"MASSA-CARRARA";"9450004";"121";"1594010";"121";"4894740";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0022_00216";"44.2020876763287";"10.1511794652829";"B";"MASSA-CARRARA";"9450004";"122";"1592010";"122";"4894980";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0022_00192";"44.2019189928118";"10.1500498253007";"B";"MASSA-CARRARA";"9450004";"123";"1591920";"123";"4894960";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0022_00063";"44.2028977842173";"10.1511952379193";"B";"MASSA-CARRARA";"9450004";"124";"1592010";"124";"4895070";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0022_00175";"44.2016590277172";"10.1490435681825";"C";"MASSA-CARRARA";"9450004";"125";"1591840";"125";"4894930";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0022_00182";"44.201834017411";"10.1495475706432";"E";"MASSA-CARRARA";"9450004";"126";"1591880";"126";"4894950";"Casola in Lunigiana";
"pubblico";"Toscana";"CASO_0022_00002";"44.2064069894157";"10.1513887292541";"E";"MASSA-CARRARA";"9450004";"127";"1592020";"127";"4895460";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0022_00083";"44.2028052505442";"10.151443741322";"E";"MASSA-CARRARA";"9450004";"128";"1592030";"128";"4895060";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0022_00087";"44.2025326923979";"10.15168873736";"E";"MASSA-CARRARA";"9450004";"129";"1592050";"129";"4895030";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0022_00198";"44.2020964977121";"10.1503035798637";"E";"MASSA-CARRARA";"9450004";"130";"1591940";"130";"4894980";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0022_00145";"44.2018440840992";"10.1485465624247";"F";"MASSA-CARRARA";"9450004";"131";"1591800";"131";"4894950";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0022_00124";"44.2020115234498";"10.1498013233507";"F";"MASSA-CARRARA";"9450004";"132";"1591900";"132";"4894970";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0014_00618";"44.2167193741976";"10.1731209280377";"A";"MASSA-CARRARA";"9450004";"133";"1593740";"133";"4896630";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0014_625+";"44.2175756477335";"10.168631309614";"A";"MASSA-CARRARA";"9450004";"134";"1593380";"134";"4896720";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0014_00218";"44.2168235124891";"10.1717459911066";"A";"MASSA-CARRARA";"9450004";"135";"1593630";"135";"4896640";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0014_00219";"44.2169096723457";"10.1721232466004";"A";"MASSA-CARRARA";"9450004";"136";"1593660";"136";"4896650";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_01016";"44.2013453330774";"10.1798242283162";"A";"MASSA-CARRARA";"9450004";"137";"1594300";"137";"4894930";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0014_00229";"44.2168119550804";"10.1728724015081";"B";"MASSA-CARRARA";"9450004";"138";"1593720";"138";"4896640";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0014_00619";"44.2166357866186";"10.1724933597605";"B";"MASSA-CARRARA";"9450004";"139";"1593690";"139";"4896620";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0014_00229";"44.2168119550804";"10.1728724015081";"B";"MASSA-CARRARA";"9450004";"140";"1593720";"140";"4896640";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0014_00624";"44.2169032508576";"10.1727490310681";"B";"MASSA-CARRARA";"9450004";"141";"1593710";"141";"4896650";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0014_00236";"44.2167296501595";"10.1721196760386";"B";"MASSA-CARRARA";"9450004";"142";"1593660";"142";"4896630";"Casola in Lunigiana";
"pubblico";"Toscana";"CASO_0014_A";"44.2167219440106";"10.1728706150879";"B";"MASSA-CARRARA";"9450004";"143";"1593720";"143";"4896630";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0014_00144";"44.2171191894127";"10.1692481971994";"B";"MASSA-CARRARA";"9450004";"144";"1593430";"144";"4896670";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0014_00216";"44.2168209451357";"10.1719963045874";"B";"MASSA-CARRARA";"9450004";"145";"1593650";"145";"4896640";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0014_00153";"44.2173828171255";"10.1698793301927";"B";"MASSA-CARRARA";"9450004";"146";"1593480";"146";"4896700";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0014_00674";"44.21784312072";"10.1688869677737";"B";"MASSA-CARRARA";"9450004";"147";"1593400";"147";"4896750";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0014_00218";"44.2168235124891";"10.1717459911066";"B";"MASSA-CARRARA";"9450004";"148";"1593630";"148";"4896640";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_00206";"44.2143464089988";"10.1849656347353";"B";"MASSA-CARRARA";"9450004";"149";"1594690";"149";"4896380";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_00213";"44.2142551002515";"10.1850889807606";"B";"MASSA-CARRARA";"9450004";"150";"1594700";"150";"4896370";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0014_00216";"44.2168209451357";"10.1719963045874";"C";"MASSA-CARRARA";"9450004";"151";"1593650";"151";"4896640";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0016_00134";"44.2181086506093";"10.1954314206214";"A";"MASSA-CARRARA";"9450004";"152";"1595520";"152";"4896810";"Casola in Lunigiana";
